asset,period,period_type,start_date,end_date,daily_vol_std,annualized_vol,atr_14,atr_pct
SPY,Overall,overall,2016-01-01,2026-01-01,0.00044595104795523607,0.1398040532220037,0.058521428571412216,0.015384060879308216
SPY,2016-S1,semester,2016-01-01,2016-06-30,0.000452438170142046,0.14183774274828878,0.030714285714290263,0.015283217968753331
SPY,2016-S2,semester,2016-07-01,2016-12-31,0.0002705036556614553,0.08480192533741222,0.0257142857142806,0.011845648751115927
SPY,2017-S1,semester,2017-01-01,2017-06-30,0.00020120824530740842,0.06307806286058223,0.0321428571428543,0.013620174415269153
SPY,2017-S2,semester,2017-07-01,2017-12-31,0.000458967031389326,0.14388451732024904,0.21857857142857387,0.08631346576972503
SPY,2018-S1,semester,2018-01-01,2018-06-30,0.0004364063379348775,0.1368118208821691,0.04571428571429286,0.016846373527787513
SPY,2018-S2,semester,2018-07-01,2018-12-31,0.00042064120056941115,0.13186950689187862,0.0214285714285763,0.007747755748771466
SPY,2019-S1,semester,2019-01-01,2019-06-30,0.0003226481738860256,0.10114904467826716,0.2035714285714302,0.0728637374321659
SPY,2019-S2,semester,2019-07-01,2019-12-31,0.0003341541941578665,0.10475614074370654,0.015714285714279543,0.005216791769244078
SPY,2020-S1,semester,2020-01-01,2020-06-30,0.0010139504885625984,0.3178698395652414,0.08642857142856185,0.029067680704250382
SPY,2020-S2,semester,2020-07-01,2020-12-31,0.00042839981771321923,0.13430180552437554,0.006428571428565582,0.0018753279685885089
SPY,2021-S1,semester,2021-01-01,2021-06-30,0.00032093118113127745,0.10061077361114613,0.0328571428571414,0.008192742022903626
SPY,2021-S2,semester,2021-07-01,2021-12-31,0.0002971626953949849,0.09315943862691567,0.038571428571421915,0.00857181817133075
SPY,2022-S1,semester,2022-01-01,2022-06-30,0.0005637715984405083,0.17674037299569823,0.12142857142857467,0.028421786703070717
SPY,2022-S2,semester,2022-07-01,2022-12-31,0.0004944863101902113,0.1550196837620703,0.02000000000000211,0.005123671974339909
SPY,2023-S1,semester,2023-01-01,2023-06-30,0.00035249658210537323,0.11050641354290684,0.07144285714285356,0.017477090014284838
SPY,2023-S2,semester,2023-07-01,2023-12-31,0.00030052663421152506,0.09421402137428116,0.0542857142857177,0.012208236571522866
SPY,2024-S1,semester,2024-01-01,2024-06-30,0.0002706810997707735,0.08485755342891867,0.04582857142854989,0.008981675590716219
SPY,2024-S2,semester,2024-07-01,2024-12-31,0.0003151601695478832,0.09880158218924227,0.034399999999996975,0.0060296396869295435
SPY,2025-S1,semester,2025-01-01,2025-06-30,0.0005673153639015595,0.17785133075080328,0.048864285714289836,0.008449347386001154
SPY,2025-S2,semester,2025-07-01,2025-12-31,0.00027001168883034917,0.08464769550130176,0.05922857142855621,0.008987880326529162
QQQ,Overall,overall,2016-01-01,2026-01-01,0.0005371229053292648,0.1683861033351522,0.022157142857135374,0.007271090744011393
QQQ,2016-S1,semester,2016-01-01,2016-06-30,0.0005921374837258808,0.18563297624062555,0.010714285714285105,0.010134940241174725
QQQ,2016-S2,semester,2016-07-01,2016-12-31,0.0003607873087323602,0.11310552658888565,0.017857142857141843,0.015314427405037837
QQQ,2017-S1,semester,2017-01-01,2017-06-30,0.00028361162528327174,0.08891122677541395,0.06476428571427359,0.0487644863355176
QQQ,2017-S2,semester,2017-07-01,2017-12-31,0.00033313981463842815,0.10443813640450134,0.03785714285714497,0.02560091424946042
QQQ,2018-S1,semester,2018-01-01,2018-06-30,0.0005265602780864833,0.1650747575989219,0.02285714285714034,0.013736247892682976
QQQ,2018-S2,semester,2018-07-01,2018-12-31,0.0005779130856991069,0.18117367850401458,0.06714285714285698,0.038682480440064386
QQQ,2019-S1,semester,2019-01-01,2019-06-30,0.0004252734262856397,0.13332169303100158,0.1206999999999953,0.06834543169026909
QQQ,2019-S2,semester,2019-07-01,2019-12-31,0.00039804709780195616,0.12478633675406167,0.047857142857139934,0.0246094434086147
QQQ,2020-S1,semester,2020-01-01,2020-06-30,0.0010231247828453257,0.32074594790057936,0.04714285714285487,0.021716500523477452
QQQ,2020-S2,semester,2020-07-01,2020-12-31,0.0005593015088563236,0.17533901595213947,0.02285714285714643,0.008104167066655427
QQQ,2021-S1,semester,2021-01-01,2021-06-30,0.000488598424339824,0.15317385267687178,0.017785714285711914,0.005428576371341421
QQQ,2021-S2,semester,2021-07-01,2021-12-31,0.00037598508292701645,0.11786997426113104,0.013014285714279237,0.0034520285372559405
QQQ,2022-S1,semester,2022-01-01,2022-06-30,0.0007406752346724086,0.2321990281291045,0.09642857142856899,0.028984264175772684
QQQ,2022-S2,semester,2022-07-01,2022-12-31,0.0006443691040143102,0.2020074017659313,0.017107142857152473,0.005919729912261045
QQQ,2023-S1,semester,2023-01-01,2023-06-30,0.00047200226780788265,0.14797101716003466,0.0864285714285659,0.027418647737913106
QQQ,2023-S2,semester,2023-07-01,2023-12-31,0.000386865920984415,0.12128107794583241,0.012842857142857156,0.0034267824879058587
QQQ,2024-S1,semester,2024-01-01,2024-06-30,0.00036351577240724197,0.11396089015976746,0.05457142857141305,0.012431001315071615
QQQ,2024-S2,semester,2024-07-01,2024-12-31,0.00043915041137814056,0.1376720780594222,0.05791428571428371,0.011841619523861738
QQQ,2025-S1,semester,2025-01-01,2025-06-30,0.000656772234977273,0.20589573881372222,0.0663642857142658,0.013225966095110429
QQQ,2025-S2,semester,2025-07-01,2025-12-31,0.0003503560896279852,0.10983537683248276,0.021442857142850307,0.0036107883909998343
IWM,Overall,overall,2016-01-01,2026-01-01,0.0006881335947913526,0.2157274125740272,0.03592857142857448,0.020038412470280643
IWM,2016-S1,semester,2016-01-01,2016-06-30,0.0006824333424179357,0.21394040391052915,0.029285714285713027,0.02711476841772671
IWM,2016-S2,semester,2016-07-01,2016-12-31,0.001063082734732981,0.3332726224267591,0.029285714285716073,0.02349360207828758
IWM,2017-S1,semester,2017-01-01,2017-06-30,0.0004427161788083774,0.13878993335291206,0.02714285714285682,0.0197440788891492
IWM,2017-S2,semester,2017-07-01,2017-12-31,0.0004419291713664237,0.13854320934406514,0.09785714285714318,0.06725858212819133
IWM,2018-S1,semester,2018-01-01,2018-06-30,0.0005447522525296522,0.17077787630427677,0.026428571428571752,0.016821756791775305
IWM,2018-S2,semester,2018-07-01,2018-12-31,0.0006185417479583826,0.19391061832482817,0.06928571428571015,0.04366008255174794
IWM,2019-S1,semester,2019-01-01,2019-06-30,0.0005005970262772076,0.15693537132681112,0.12571428571428708,0.08266071801589737
IWM,2019-S2,semester,2019-07-01,2019-12-31,0.0004855883530187554,0.15223020611946994,0.16281428571428844,0.1048627920565366
IWM,2020-S1,semester,2020-01-01,2020-06-30,0.0014732240991969527,0.4618504683786358,0.045000000000001705,0.03253565240616094
IWM,2020-S2,semester,2020-07-01,2020-12-31,0.0006948136455979017,0.21782158453026895,0.05714285714285593,0.0350241902137711
IWM,2021-S1,semester,2021-01-01,2021-06-30,0.0006760571024462112,0.21194147556076842,0.04364285714286252,0.019712333118713697
IWM,2021-S2,semester,2021-07-01,2021-12-31,0.0005573346595931975,0.17472241576626132,0.163571428571428,0.07303618128979458
IWM,2022-S1,semester,2022-01-01,2022-06-30,0.0007220034707187602,0.22634549713395688,0.0549999999999987,0.028286478861340253
IWM,2022-S2,semester,2022-07-01,2022-12-31,0.0007198775946766422,0.22567904262353833,0.017142857142855763,0.0095176928602743
IWM,2023-S1,semester,2023-01-01,2023-06-30,0.0005476589200091429,0.17168910612841248,0.04428571428571461,0.024450667685387895
IWM,2023-S2,semester,2023-07-01,2023-12-31,0.000477890321468649,0.1498169008531848,0.03762857142857001,0.020481997686562458
IWM,2024-S1,semester,2024-01-01,2024-06-30,0.0005114018613745036,0.1603226483562598,0.020742857142863613,0.010334287948837085
IWM,2024-S2,semester,2024-07-01,2024-12-31,0.0005838887506495581,0.18304702802208456,0.0609428571428562,0.02755038744418388
IWM,2025-S1,semester,2025-01-01,2025-06-30,0.0007347898211199652,0.2303539721004395,0.03500000000000268,0.016782612674166263
IWM,2025-S2,semester,2025-07-01,2025-12-31,0.0004585005792079077,0.14373828623525545,0.03592857142857448,0.015119515056704209
GLD,Overall,overall,2016-01-01,2026-01-01,0.00046803612968967216,0.14672764709261019,0.06087142857142323,0.03459488084043305
GLD,2016-S1,semester,2016-01-01,2016-06-30,0.0005508097300581077,0.1726768737719636,0.06285714285714152,0.053624902132043246
GLD,2016-S2,semester,2016-07-01,2016-12-31,0.00042028508261102843,0.1317578651898682,0.045000000000001705,0.036887778445428426
GLD,2017-S1,semester,2017-01-01,2017-06-30,0.0003363989773303237,0.10545987221278376,0.01000000000000004,0.008479687805805866
GLD,2017-S2,semester,2017-07-01,2017-12-31,0.0005803265991610982,0.18193030631336582,0.0357142857142847,0.02940253357551124
GLD,2018-S1,semester,2018-01-01,2018-06-30,0.0003183396234281184,0.09979832957110721,0.08642857142856997,0.06916167835081327
GLD,2018-S2,semester,2018-07-01,2018-12-31,0.0003133475984924438,0.09823334766784084,0.01999999999999805,0.017324524603196848
GLD,2019-S1,semester,2019-01-01,2019-06-30,0.00033685588008793764,0.10560310958768314,0.06071428571428531,0.049142164792947585
GLD,2019-S2,semester,2019-07-01,2019-12-31,0.00041342491888410527,0.1296072284794311,0.04428571428571664,0.03176402421751928
GLD,2020-S1,semester,2020-01-01,2020-06-30,0.0007109656694785848,0.22288518605472318,0.024999999999999595,0.01612543460848338
GLD,2020-S2,semester,2020-07-01,2020-12-31,0.0005032853866330623,0.15777816265109018,0.05857142857142809,0.03288299127171968
GLD,2021-S1,semester,2021-01-01,2021-06-30,0.00043524998272900133,0.13644930767475066,0.024999999999997562,0.014782326121307636
GLD,2021-S2,semester,2021-07-01,2021-12-31,0.00038455714024439715,0.12055728346898259,0.025721428571429783,0.015344585368135712
GLD,2022-S1,semester,2022-01-01,2022-06-30,0.00046993780941704345,0.14732381686289248,0.04855000000000383,0.02769846264115971
GLD,2022-S2,semester,2022-07-01,2022-12-31,0.0004703402804086167,0.14744999007446855,0.027857142857143913,0.01731477903483902
GLD,2023-S1,semester,2023-01-01,2023-06-30,0.0004571786170262094,0.14332385583520363,0.04321428571428702,0.024010039079307394
GLD,2023-S2,semester,2023-07-01,2023-12-31,0.00036468688650398575,0.11432803022651003,0.05282857142857316,0.029173297882409403
GLD,2024-S1,semester,2024-01-01,2024-06-30,0.000514316635324984,0.16123641952996043,0.06499999999999975,0.03172052032609377
GLD,2024-S2,semester,2024-07-01,2024-12-31,0.00046631836944837344,0.1461891354212097,0.04366428571427759,0.018372068583427582
GLD,2025-S1,semester,2025-01-01,2025-06-30,0.0005199758814620135,0.16301057288550339,0.13719285714285792,0.04794890121676674
GLD,2025-S2,semester,2025-07-01,2025-12-31,0.0005159195056623091,0.16173891362875187,0.06087142857142323,0.017196357622844837
TLT,Overall,overall,2016-01-01,2026-01-01,0.0005161422783036296,0.1618087520523779,0.005014285714282656,0.004270400187083009
TLT,2016-S1,semester,2016-01-01,2016-06-30,0.00044774157967401716,0.14036537849045175,0.045000000000001705,0.0345873473499302
TLT,2016-S2,semester,2016-07-01,2016-12-31,0.0005305950204123826,0.16633963483926806,0.07949999999999895,0.060234038782560416
TLT,2017-S1,semester,2017-01-01,2017-06-30,0.0010379966124554343,0.3254082131152333,0.02000000000000211,0.01643085490235636
TLT,2017-S2,semester,2017-07-01,2017-12-31,0.00030218958772342273,0.0947353513326904,0.030414285714285377,0.024224738164747864
TLT,2018-S1,semester,2018-01-01,2018-06-30,0.0003469274647225945,0.1087605152283911,0.042142857142857384,0.035059833460574
TLT,2018-S2,semester,2018-07-01,2018-12-31,0.0002995140242294213,0.0938965717786803,0.07142857142857346,0.06061133990994673
TLT,2019-S1,semester,2019-01-01,2019-06-30,0.0003007216595110253,0.09427516110581893,0.04535714285714424,0.03646862846146491
TLT,2019-S2,semester,2019-07-01,2019-12-31,0.0005028568859845389,0.15764382923546866,0.06682857142857504,0.04798301198772746
TLT,2020-S1,semester,2020-01-01,2020-06-30,0.000997894459891603,0.3128363321945419,0.17071428571428474,0.108784475947021
TLT,2020-S2,semester,2020-07-01,2020-12-31,0.00042678656608918845,0.1337960569294555,0.031428571428567205,0.019369204528956855
TLT,2021-S1,semester,2021-01-01,2021-06-30,0.00043733607398770586,0.13710328979833827,0.1164285714285711,0.08195890156117099
TLT,2021-S2,semester,2021-07-01,2021-12-31,0.00041621102533622275,0.13048066285412305,0.04285714285714042,0.02897627556931411
TLT,2022-S1,semester,2022-01-01,2022-06-30,0.0005902599162268944,0.18504436556741427,0.10848571428571217,0.0850503735679738
TLT,2022-S2,semester,2022-07-01,2022-12-31,0.0006179180946100072,0.19371510523811578,0.044607142857142686,0.041899752029164995
TLT,2023-S1,semester,2023-01-01,2023-06-30,0.0005708000104144592,0.17894375492781342,0.020714285714289207,0.01988683293576117
TLT,2023-S2,semester,2023-07-01,2023-12-31,0.0004998613907339521,0.1567047522238561,0.04285714285714347,0.04611354639970228
TLT,2024-S1,semester,2024-01-01,2024-06-30,0.0004099555884416002,0.1285196058355274,0.011614285714289605,0.012509433956297555
TLT,2024-S2,semester,2024-07-01,2024-12-31,0.0003435820615882392,0.10771174335087459,0.019400000000000465,0.020587655920846566
TLT,2025-S1,semester,2025-01-01,2025-06-30,0.00038929068708972787,0.12204123341848443,0.014985714285717424,0.017016397824439398
TLT,2025-S2,semester,2025-07-01,2025-12-31,0.00027237505193082834,0.08538860135228538,0.005014285714282656,0.0056712428676430615
XLE,Overall,overall,2016-01-01,2026-01-01,0.0009950172934948796,0.311934350853988,0.04356428571428544,0.12505169594710025
XLE,2016-S1,semester,2016-01-01,2016-06-30,0.0010228810941343399,0.32066955236417133,0.0035714285714283684,0.011564387537996271
XLE,2016-S2,semester,2016-07-01,2016-12-31,0.0006315363799716048,0.19798438882925185,0.019285714285713493,0.054774802103329384
XLE,2017-S1,semester,2017-01-01,2017-06-30,0.0005715936588525103,0.17919256086510543,0.024285714285714022,0.0696524611086284
XLE,2017-S2,semester,2017-07-01,2017-12-31,0.0005317797851496656,0.16671105433283384,0.010714285714285612,0.03200901565072855
XLE,2018-S1,semester,2018-01-01,2018-06-30,0.0007381848361317215,0.23141829712348713,0.01000000000000004,0.027536743910328627
XLE,2018-S2,semester,2018-07-01,2018-12-31,0.0008046520493549596,0.2522555299488994,0.014285714285713727,0.0402622924494011
XLE,2019-S1,semester,2019-01-01,2019-06-30,0.0006992323117565986,0.21920682051447216,0.020000000000000333,0.062388124629713534
XLE,2019-S2,semester,2019-07-01,2019-12-31,0.0007650262798782884,0.2398329934165142,0.019285714285714257,0.06438277898851506
XLE,2020-S1,semester,2020-01-01,2020-06-30,0.0021720578427089784,0.6809323391787113,0.02428571428571377,0.11721980010423522
